"emp_no","first_name","last_name","birth_date","from_date","to_date","title"
26476,"Bilhanan","Karcich","1965-01-19",NULL,NULL,"Staff"
26503,"Shietung","Billingsley","1965-01-27",NULL,NULL,"Senior Staff"
26617,"Berto","Bruckman","1965-01-06",NULL,NULL,"Engineer"
26629,"Nevin","Rodham","1965-01-28",NULL,NULL,"Senior Staff"
26671,"Jiakeng","Kalorkoti","1965-01-21",NULL,NULL,"Engineer"
26788,"Zongyan","Dalphin","1965-01-25",NULL,NULL,"Engineer"
27150,"Chenyi","Plump","1965-01-06",NULL,NULL,"Staff"
27331,"Wanqing","Krohm","1965-01-19",NULL,NULL,"Senior Staff"
27378,"Piyawadee","Leppanen","1965-01-28",NULL,NULL,"Senior Staff"
27620,"Shuji","Kandlur","1965-01-25",NULL,NULL,"Engineer"
27686,"Manu","Rosiles","1965-01-28",NULL,NULL,"Senior Staff"
27699,"Falguni","Pezzoli","1965-01-15",NULL,NULL,"Engineer"
27767,"Tooru","Veldwijk","1965-01-27",NULL,NULL,"Senior Staff"
27970,"KayLiang","Miyakawa","1965-01-12",NULL,NULL,"Technique Leader"
28193,"Xinglin","Mitsuhashi","1965-01-29",NULL,NULL,"Engineer"
28222,"Mayuko","Vitiello","1965-01-11",NULL,NULL,"Technique Leader"
28974,"Chenxi","Sundgren","1965-01-09",NULL,NULL,"Senior Engineer"
28988,"Tua","Giveon","1965-01-18",NULL,NULL,"Technique Leader"
29130,"Xumin","Thorensen","1965-01-06",NULL,NULL,"Staff"
29265,"Gilbert","Calkin","1965-01-14",NULL,NULL,"Senior Staff"
29380,"Satoru","Vidal","1965-01-30",NULL,NULL,"Assistant Engineer"
29418,"Valery","Mersereau","1965-01-22",NULL,NULL,"Assistant Engineer"
29679,"Kolar","Steenbeek","1965-01-17",NULL,NULL,"Senior Engineer"
29782,"Jouko","Hellwagner","1965-01-29",NULL,NULL,"Senior Engineer"
29954,"Pranay","Giarratana","1965-01-27",NULL,NULL,"Senior Engineer"
30007,"Kousuke","Vecchio","1965-01-24",NULL,NULL,"Engineer"
30035,"Tetsushi","Conta","1965-01-08",NULL,NULL,"Senior Staff"
30154,"Mayuko","Skafidas","1965-01-26",NULL,NULL,"Technique Leader"
30182,"Leon","Potthoff","1965-01-26",NULL,NULL,"Engineer"
30465,"Randi","Avouris","1965-01-28",NULL,NULL,"Engineer"
30484,"Sailaja","Chvatal","1965-01-11",NULL,NULL,"Staff"
30552,"Yishai","Terlouw","1965-01-18",NULL,NULL,"Engineer"
30695,"Gudjon","Majewski","1965-01-08",NULL,NULL,"Senior Engineer"
30938,"Yakkov","Samarati","1965-01-06",NULL,NULL,"Senior Staff"
31147,"Divine","Sidhu","1965-01-04",NULL,NULL,"Senior Staff"
31170,"Tuval","Waleschkowski","1965-01-08",NULL,NULL,"Senior Staff"
31188,"Leandro","Gist","1965-01-12",NULL,NULL,"Technique Leader"
31207,"Abdelwaheb","Dulin","1965-01-30",NULL,NULL,"Senior Engineer"
31341,"Oksana","Zultner","1965-01-01",NULL,NULL,"Senior Staff"
31514,"Harngdar","Schapire","1965-01-13",NULL,NULL,"Engineer"
31568,"Mark","Lalonde","1965-01-10",NULL,NULL,"Staff"
31599,"Qingxiang","Gewali","1965-01-05",NULL,NULL,"Engineer"
31629,"Toong","Veldwijk","1965-01-24",NULL,NULL,"Assistant Engineer"
31909,"Murthy","Peek","1965-01-10",NULL,NULL,"Engineer"
32347,"Terresa","Peres","1965-01-08",NULL,NULL,"Senior Staff"
32552,"Atreye","Stanger","1965-01-17",NULL,NULL,"Assistant Engineer"
32622,"Piyush","Paciorek","1965-01-23",NULL,NULL,"Staff"
32649,"Ingmar","Nannarelli","1965-01-12",NULL,NULL,"Senior Staff"
32714,"Radoslaw","Maliniak","1965-01-16",NULL,NULL,"Staff"
32844,"Tadahiko","Melton","1965-01-23",NULL,NULL,"Engineer"
33025,"Jessie","Thorelli","1965-01-12",NULL,NULL,"Senior Staff"
33215,"Steen","Fasbender","1965-01-29",NULL,NULL,"Technique Leader"
33293,"Adamantios","Vanwelkenhuysen","1965-02-01",NULL,NULL,"Assistant Engineer"
33606,"Clyde","Swift","1965-01-02",NULL,NULL,"Staff"
33722,"Anwar","Collette","1965-01-15",NULL,NULL,"Senior Engineer"
34077,"Angel","Sichman","1965-01-08",NULL,NULL,"Senior Staff"
34261,"Kyoichi","Callaway","1965-01-05",NULL,NULL,"Senior Staff"
34446,"Chinhyun","Bauknecht","1965-01-31",NULL,NULL,"Senior Engineer"
34452,"Naftaly","Foong","1965-01-08",NULL,NULL,"Engineer"
34505,"Felicidad","Kumaresan","1965-01-28",NULL,NULL,"Senior Staff"
34533,"Erzsebet","Shigei","1965-01-10",NULL,NULL,"Senior Engineer"
34780,"Moni","Kohling","1965-01-16",NULL,NULL,"Staff"
34788,"Ennio","Babu","1965-01-27",NULL,NULL,"Senior Engineer"
34936,"Bokyung","Stamatiou","1965-01-12",NULL,NULL,"Technique Leader"
35044,"Jiang","Waschkowski","1965-01-04",NULL,NULL,"Engineer"
35087,"Leif","Ashish","1965-01-17",NULL,NULL,"Senior Staff"
35441,"Chandrasekaran","Peek","1965-01-31",NULL,NULL,"Engineer"
35642,"Ashish","Talmon","1965-01-30",NULL,NULL,"Engineer"
35793,"Oscar","Kusalik","1965-01-01",NULL,NULL,"Senior Staff"
35798,"Ulf","Oberman","1965-01-29",NULL,NULL,"Senior Engineer"
36521,"Serif","Gladwell","1965-01-21",NULL,NULL,"Senior Staff"
36626,"Fen","Genin","1965-01-02",NULL,NULL,"Senior Staff"
36733,"Uma","Reinhard","1965-01-04",NULL,NULL,"Staff"
36844,"Hailing","Levergood","1965-01-01",NULL,NULL,"Staff"
36982,"Kotesh","Rajala","1965-01-22",NULL,NULL,"Engineer"
37070,"Jeong","Undy","1965-01-22",NULL,NULL,"Senior Staff"
37592,"Berni","Stranks","1965-02-01",NULL,NULL,"Engineer"
37719,"Nakhoon","Buescher","1965-01-31",NULL,NULL,"Assistant Engineer"
37945,"Suzette","Butterworth","1965-01-02",NULL,NULL,"Senior Engineer"
38017,"Ulf","Himler","1965-01-24",NULL,NULL,"Staff"
38043,"Michaela","Randi","1965-01-05",NULL,NULL,"Engineer"
38103,"Masasuke","Babu","1965-01-12",NULL,NULL,"Engineer"
38168,"Fumiko","Deverell","1965-01-14",NULL,NULL,"Senior Staff"
38550,"JoAnne","Baez","1965-01-14",NULL,NULL,"Senior Engineer"
38593,"Huei","Orsini","1965-01-14",NULL,NULL,"Engineer"
38947,"Shuichi","Ruemmler","1965-01-25",NULL,NULL,"Senior Staff"
39000,"Martijn","Vendrig","1965-01-08",NULL,NULL,"Senior Staff"
39036,"Changho","Cappelli","1965-01-08",NULL,NULL,"Staff"
39268,"Constantijn","Awdeh","1965-01-10",NULL,NULL,"Engineer"
39301,"Rimon","Kawashima","1965-01-07",NULL,NULL,"Senior Staff"
39341,"Mahmut","Lampe","1965-01-01",NULL,NULL,"Engineer"
39952,"Otmar","Sudbeck","1965-01-02",NULL,NULL,"Staff"
40269,"Toshiki","Ghazalie","1965-01-10",NULL,NULL,"Senior Staff"
40283,"Sudhanshu","Boissier","1965-01-07",NULL,NULL,"Engineer"
40301,"Spyrose","Felder","1965-01-20",NULL,NULL,"Senior Engineer"
40536,"Harngdar","Bernardinello","1965-01-20",NULL,NULL,"Engineer"
40648,"Wayne","Erev","1965-01-23",NULL,NULL,"Staff"
40765,"Michaela","Ramsak","1965-01-01",NULL,NULL,"Senior Staff"
40773,"Shimshon","Aingworth","1965-01-09",NULL,NULL,"Senior Staff"
40785,"Youpyo","Castellani","1965-01-31",NULL,NULL,"Engineer"
40983,"Marla","Cherinka","1965-01-17",NULL,NULL,"Technique Leader"
41114,"Petter","Thummel","1965-01-25",NULL,NULL,"Technique Leader"
41137,"Bikash","Buchter","1965-01-20",NULL,NULL,"Senior Staff"
41357,"Willard","Vernadat","1965-01-06",NULL,NULL,"Engineer"
41518,"Keung","Schapiro","1965-01-11",NULL,NULL,"Senior Engineer"
41520,"Xiong","Uhrik","1965-01-20",NULL,NULL,"Senior Engineer"
41552,"Uno","Heyers","1965-01-03",NULL,NULL,"Engineer"
41609,"Yucai","Simmen","1965-01-04",NULL,NULL,"Senior Staff"
42778,"Shuji","Remmers","1965-01-19",NULL,NULL,"Senior Staff"
42911,"Brigham","Eterovic","1965-01-29",NULL,NULL,"Engineer"
42950,"Shaleah","Eickenmeyer","1965-01-22",NULL,NULL,"Senior Staff"
42955,"Yucel","Lortz","1965-01-12",NULL,NULL,"Engineer"
43154,"Maha","Waterhouse","1965-01-13",NULL,NULL,"Senior Staff"
43358,"Ottavia","Mitsuhashi","1965-01-07",NULL,NULL,"Staff"
43733,"Huei","Boguraev","1965-01-26",NULL,NULL,"Senior Staff"
43848,"Phillip","Oxenboll","1965-01-11",NULL,NULL,"Engineer"
44054,"Alenka","Ritcey","1965-01-18",NULL,NULL,"Engineer"
44265,"Maria","Eppinger","1965-01-24",NULL,NULL,"Engineer"
44540,"Mingzeng","Sadowski","1965-01-16",NULL,NULL,"Senior Engineer"
44900,"Mark","Schwaller","1965-01-05",NULL,NULL,"Senior Staff"
44959,"Volkmar","Uhrik","1965-01-21",NULL,NULL,"Engineer"
44962,"Sariel","Wynblatt","1965-01-16",NULL,NULL,"Assistant Engineer"
45162,"Dulce","Speel","1965-01-11",NULL,NULL,"Engineer"
45590,"Masoud","Genin","1965-01-21",NULL,NULL,"Technique Leader"
46000,"Zhaofang","Penn","1965-01-26",NULL,NULL,"Senior Staff"
46015,"Weiye","Masand","1965-01-19",NULL,NULL,"Staff"
46222,"Mrinalini","Strooper","1965-01-20",NULL,NULL,"Staff"
46328,"Wuxu","Trogemann","1965-01-05",NULL,NULL,"Senior Staff"
46531,"Yaghout","Peng","1965-01-30",NULL,NULL,"Assistant Engineer"
46811,"Junsik","Berendt","1965-01-10",NULL,NULL,"Senior Engineer"
46834,"Tooru","Daescu","1965-01-22",NULL,NULL,"Senior Staff"
46943,"Pasqua","Maraist","1965-01-31",NULL,NULL,"Engineer"
47016,"Toong","Litecky","1965-01-03",NULL,NULL,"Senior Staff"
47139,"Marco","Usdin","1965-01-25",NULL,NULL,"Engineer"
47262,"Gonzalo","Binkley","1965-01-10",NULL,NULL,"Engineer"
47515,"Naraig","Jenevein","1965-01-26",NULL,NULL,"Senior Engineer"
47702,"Juyoung","Vieri","1965-01-21",NULL,NULL,"Senior Staff"
47708,"Edwin","Haldar","1965-01-05",NULL,NULL,"Senior Staff"
48275,"Sariel","Massonet","1965-01-29",NULL,NULL,"Senior Staff"
48690,"Hitomi","Schaap","1965-01-12",NULL,NULL,"Staff"
48882,"Leen","Lamparter","1965-01-28",NULL,NULL,"Engineer"
48904,"Yuichiro","Malabarba","1965-01-23",NULL,NULL,"Senior Staff"
48947,"Filipp","Akaboshi","1965-01-05",NULL,NULL,"Senior Staff"
49010,"Kazuhisa","Benantar","1965-01-16",NULL,NULL,"Senior Staff"
49017,"Filipp","Flanders","1965-01-07",NULL,NULL,"Engineer"
49119,"Lena","Peek","1965-01-09",NULL,NULL,"Engineer"
49177,"Tze","Bach","1965-01-03",NULL,NULL,"Engineer"
49464,"Siddarth","Cappelletti","1965-01-14",NULL,NULL,"Staff"
49477,"Baocai","Leaver","1965-01-14",NULL,NULL,"Senior Staff"
50293,"Xinan","Rindone","1965-01-26",NULL,NULL,"Engineer"
50311,"Mooi","Stafford","1965-01-24",NULL,NULL,"Senior Engineer"
50360,"Sumali","Kushner","1965-01-18",NULL,NULL,"Engineer"
50453,"Aron","Harbusch","1965-01-12",NULL,NULL,"Staff"
50587,"Slavian","Yemenis","1965-01-26",NULL,NULL,"Technique Leader"
50670,"Boguslaw","Snedden","1965-01-30",NULL,NULL,"Senior Staff"
50831,"Marie","Khalid","1965-01-06",NULL,NULL,"Senior Engineer"
51036,"Chriss","Fasbender","1965-01-29",NULL,NULL,"Staff"
51057,"Theirry","Albarhamtoshy","1965-01-29",NULL,NULL,"Senior Staff"
51060,"Youngkon","Rohrbach","1965-01-15",NULL,NULL,"Engineer"
51118,"Fumiko","Mundy","1965-01-17",NULL,NULL,"Staff"
51142,"Rosine","Lakshmanan","1965-01-29",NULL,NULL,"Engineer"
51502,"Slavian","Munawer","1965-01-29",NULL,NULL,"Senior Staff"
51868,"Remmert","Munke","1965-01-19",NULL,NULL,"Assistant Engineer"
52038,"Chikako","Armand","1965-01-13",NULL,NULL,"Senior Engineer"
52040,"Phule","Heijenga","1965-01-14",NULL,NULL,"Senior Staff"
52283,"Trygve","Krupka","1965-01-20",NULL,NULL,"Senior Staff"
52386,"Adas","Denti","1965-01-28",NULL,NULL,"Senior Staff"
52590,"Jouni","Munoz","1965-01-21",NULL,NULL,"Senior Staff"
52599,"Augustine","Mungall","1965-01-25",NULL,NULL,"Engineer"
52639,"Arup","Colorni","1965-01-09",NULL,NULL,"Senior Staff"
52770,"Shugo","Yurek","1965-01-31",NULL,NULL,"Senior Staff"
52778,"Alain","Penn","1965-01-15",NULL,NULL,"Technique Leader"
52956,"Khalil","Picci","1965-01-31",NULL,NULL,"Engineer"
52970,"Lobel","Werthner","1965-01-22",NULL,NULL,"Engineer"
53088,"Mechthild","Lamma","1965-01-25",NULL,NULL,"Engineer"
53278,"Premsyl","Lortz","1965-01-31",NULL,NULL,"Senior Staff"
53314,"Eberhardt","Carrera","1965-01-06",NULL,NULL,"Staff"
53431,"Sham","Vasanthakumar","1965-01-12",NULL,NULL,"Senior Staff"
53499,"Zdislav","Mandelberg","1965-01-20",NULL,NULL,"Engineer"
53597,"Jiafu","Marchegay","1965-01-30",NULL,NULL,"Engineer"
53746,"Manu","Erva","1965-01-21",NULL,NULL,"Staff"
53874,"Bodo","Schade","1965-01-23",NULL,NULL,"Senior Staff"
53891,"Olivera","Pargaonkar","1965-01-23",NULL,NULL,"Staff"
53924,"Arnould","Gaughan","1965-01-27",NULL,NULL,"Engineer"
54198,"Shaowen","Segond","1965-01-01",NULL,NULL,"Engineer"
54632,"Etsuo","Serot","1965-01-19",NULL,NULL,"Senior Staff"
54795,"Sumant","Nergos","1965-01-29",NULL,NULL,"Senior Staff"
54800,"Breannda","Cangellaris","1965-01-13",NULL,NULL,"Staff"
55121,"Toshiko","Alblas","1965-01-12",NULL,NULL,"Engineer"
55640,"Adit","Syrotiuk","1965-01-25",NULL,NULL,"Engineer"
55670,"Ulf","Ranft","1965-01-30",NULL,NULL,"Senior Staff"
55687,"Shih","Lindqvist","1965-01-02",NULL,NULL,"Senior Engineer"
55799,"Jianwen","Litzler","1965-01-23",NULL,NULL,"Engineer"
55857,"Adin","Scallan","1965-01-18",NULL,NULL,"Senior Staff"
56105,"Makato","Remmers","1965-01-11",NULL,NULL,"Engineer"
56209,"Remzi","Douceur","1965-01-19",NULL,NULL,"Engineer"
56415,"Sigeru","Nivat","1965-01-30",NULL,NULL,"Senior Staff"
56428,"Olivera","Hanabata","1965-01-27",NULL,NULL,"Senior Staff"
56682,"Roded","Picco","1965-01-28",NULL,NULL,"Assistant Engineer"
56829,"Nagui","Gruenwald","1965-01-09",NULL,NULL,"Engineer"
56847,"Menkae","Chinin","1965-01-14",NULL,NULL,"Senior Engineer"
57934,"Sanjoy","Boudaillier","1965-01-25",NULL,NULL,"Engineer"
57982,"Paloma","Benzaken","1965-01-29",NULL,NULL,"Senior Staff"
58141,"Bezalel","Karner","1965-01-05",NULL,NULL,"Staff"
58147,"Shigenori","Sullins","1965-01-09",NULL,NULL,"Senior Staff"
58217,"Kiyotoshi","Kusalik","1965-01-30",NULL,NULL,"Engineer"
58384,"Mariusz","Vural","1965-01-22",NULL,NULL,"Engineer"
58454,"Ziya","Zambonelli","1965-01-25",NULL,NULL,"Engineer"
58497,"Yechiam","Cairo","1965-01-22",NULL,NULL,"Senior Staff"
58601,"Sungwon","Asser","1965-01-06",NULL,NULL,"Staff"
58819,"Gennady","Liesche","1965-01-04",NULL,NULL,"Senior Staff"
58990,"Palash","Trelles","1965-01-04",NULL,NULL,"Engineer"
59195,"Ronnie","Pollock","1965-01-08",NULL,NULL,"Technique Leader"
59329,"Zissis","Bazzichi","1965-01-15",NULL,NULL,"Staff"
59640,"Zita","Hiltgen","1965-01-18",NULL,NULL,"Staff"
59661,"Saeko","Baik","1965-01-09",NULL,NULL,"Staff"
59869,"Zsolt","Riefers","1965-02-01",NULL,NULL,"Senior Staff"
59966,"Steen","Salvesen","1965-01-28",NULL,NULL,"Technique Leader"
60000,"Heekeun","Emmart","1965-01-16",NULL,NULL,"Assistant Engineer"
60091,"Surveyors","Bade","1965-02-01",NULL,NULL,"Senior Staff"
60238,"Erzsebet","Claffy","1965-01-23",NULL,NULL,"Staff"
60559,"Jeanna","Stemann","1965-01-19",NULL,NULL,"Engineer"
60821,"Moty","Mersereau","1965-01-02",NULL,NULL,"Senior Staff"
60845,"Bedir","Siegrist","1965-01-14",NULL,NULL,"Engineer"
60875,"Rildo","Masaki","1965-01-21",NULL,NULL,"Engineer"
60959,"Tetsushi","Sridhar","1965-01-09",NULL,NULL,"Senior Staff"
61147,"Leszek","Werthner","1965-01-30",NULL,NULL,"Staff"
61253,"Cheong","Uhrik","1965-01-09",NULL,NULL,"Engineer"
61377,"Dannz","Ohori","1965-01-01",NULL,NULL,"Senior Staff"
61541,"Kasidit","Papsdorf","1965-01-08",NULL,NULL,"Engineer"
61680,"Hauke","Templeman","1965-01-24",NULL,NULL,"Staff"
61873,"Woody","Rusmann","1965-01-19",NULL,NULL,"Assistant Engineer"
61983,"Sastry","Reeken","1965-01-18",NULL,NULL,"Staff"
62033,"Heeju","Cappelli","1965-01-24",NULL,NULL,"Engineer"
62046,"Karlis","Nanard","1965-01-31",NULL,NULL,"Engineer"
62167,"Mihalis","Haldar","1965-01-25",NULL,NULL,"Senior Engineer"
62245,"Adel","Bressoud","1965-01-01",NULL,NULL,"Engineer"
62384,"Akeel","Litzler","1965-01-02",NULL,NULL,"Senior Staff"
63294,"Tetsushi","Tanemo","1965-01-23",NULL,NULL,"Engineer"
63419,"Hiroyasu","Seuren","1965-01-14",NULL,NULL,"Senior Engineer"
63441,"Hinrich","Scallan","1965-01-15",NULL,NULL,"Staff"
63444,"Padma","Peres","1965-01-19",NULL,NULL,"Senior Staff"
63566,"Heekeun","Slaats","1965-01-31",NULL,NULL,"Senior Staff"
63631,"Falguni","Cherinka","1965-01-22",NULL,NULL,"Senior Engineer"
63706,"Sedat","Itzigehl","1965-01-26",NULL,NULL,"Engineer"
64023,"Laurentiu","Benzmuller","1965-01-11",NULL,NULL,"Senior Engineer"
64209,"Golgen","Schoegge","1965-01-24",NULL,NULL,"Senior Staff"
64431,"Faiza","Zongker","1965-01-25",NULL,NULL,"Technique Leader"
64487,"Tsutomu","Rebaine","1965-01-27",NULL,NULL,"Engineer"
64532,"Atilio","Segond","1965-01-23",NULL,NULL,"Engineer"
64632,"Zsolt","Brender","1965-01-07",NULL,NULL,"Senior Staff"
64790,"Shin","Piveteau","1965-01-29",NULL,NULL,"Engineer"
64828,"Krister","Pappas","1965-01-27",NULL,NULL,"Staff"
64984,"Eldridge","Eldridge","1965-01-06",NULL,NULL,"Engineer"
65013,"Chandrasekaran","Peral","1965-01-03",NULL,NULL,"Engineer"
65171,"Jeane","Tasistro","1965-01-25",NULL,NULL,"Technique Leader"
65539,"Aksel","Picaronny","1965-01-23",NULL,NULL,"Engineer"
65883,"Patricia","Pepe","1965-01-07",NULL,NULL,"Senior Staff"
65998,"Mandell","Alameldin","1965-01-09",NULL,NULL,"Senior Staff"
66382,"Domenico","Candan","1965-01-04",NULL,NULL,"Engineer"
66530,"Dung","Leaver","1965-01-29",NULL,NULL,"Staff"
66643,"Jianhao","Tomescu","1965-01-18",NULL,NULL,"Engineer"
66702,"Deniz","Thibadeau","1965-02-01",NULL,NULL,"Engineer"
66757,"Yonghong","Baig","1965-01-16",NULL,NULL,"Staff"
66807,"Aiman","Rosaz","1965-01-21",NULL,NULL,"Engineer"
67320,"Sadok","Lorys","1965-01-18",NULL,NULL,"Senior Staff"
67548,"Fumitaka","Roohalamini","1965-01-11",NULL,NULL,"Staff"
67934,"Aiman","Gargeya","1965-01-07",NULL,NULL,"Engineer"
68022,"Kristinn","Pearson","1965-01-12",NULL,NULL,"Staff"
68168,"Marl","Thiria","1965-01-14",NULL,NULL,"Senior Staff"
68263,"Fumiko","Bodoff","1965-01-16",NULL,NULL,"Staff"
68416,"Munenori","Debuse","1965-01-27",NULL,NULL,"Senior Engineer"
68608,"Yucai","Seghrouchni","1965-01-26",NULL,NULL,"Engineer"
68633,"Chinhyun","Rassart","1965-01-28",NULL,NULL,"Senior Engineer"
68648,"Jaques","DiGiano","1965-01-25",NULL,NULL,"Technique Leader"
69052,"Shietung","Shrader","1965-01-26",NULL,NULL,"Senior Staff"
69219,"Shuky","Redmiles","1965-01-09",NULL,NULL,"Senior Staff"
69867,"Miyeon","Rothe","1965-01-22",NULL,NULL,"Senior Staff"
69878,"Chinya","Cooke","1965-01-24",NULL,NULL,"Engineer"
69936,"Lalit","Unni","1965-01-23",NULL,NULL,"Assistant Engineer"
70469,"Tru","Miyakawa","1965-01-12",NULL,NULL,"Senior Staff"
70780,"Behnaam","Angelov","1965-01-27",NULL,NULL,"Assistant Engineer"
70990,"Arumugam","Nitta","1965-01-22",NULL,NULL,"Senior Engineer"
71066,"Domenick","Basart","1965-01-27",NULL,NULL,"Senior Staff"
71141,"Sajjad","Vitiello","1965-01-02",NULL,NULL,"Senior Staff"
71188,"Pranjal","Schapiro","1965-01-02",NULL,NULL,"Senior Staff"
